Project;Model;Net;Timestamp;Product;Product Name;Product Arrow;Product Flow Amount;LCI Method;Phase;Process;Material Type;Material;Quantity;Unit
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T03: Activated  sludge;Bad;Dinitrogen monoxide [air/unspecified];3780859,08311696;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T06: CHP plant;Bad;Dinitrogen monoxide [air/urban air close to ground];31104,3435983156;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T06: CHP plant;Bad;Methane, non-fossil [air/urban air close to ground];149507,379016191;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T07: Centrifuge;Bad;Methane, non-fossil [air/unspecified];289428,775432367;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Carbon dioxide, fossil [air/lower stratosphere + upper troposphere];0,00774761110741316;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Carbon dioxide, fossil [air/non-urban air or from high stacks];42989,1537570535;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Carbon dioxide, fossil [air/unspecified];12151,1430091982;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Carbon dioxide, fossil [air/urban air close to ground];293615,649921925;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Carbon dioxide, from soil or biomass stock [air/non-urban air or from high stacks];80,9442735051249;kg CO2-Eq
smartech2_model-v0.1.0_input-v0.3.1;0_Reference_Agri;Main Net;12.09.2018 11:48:37;VOL [A1 (P3 -> T01)] (10137128,00 m3);VOL;A1 (P3 -> T01);10137128,00 m3;ReCiPe Midpoint (H) w/o LT - climate change w/o LT, GWP100 w/o LT;Sonstige;T14: Polymer;Bad;Carbon dioxide, from soil or biomass stock [air/unspecified];1,36822634599952;kg CO2-Eq
